bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3db01fc0:	dummy;	0.091938	10	-2	84
3dc7bbc0:	time lag;	0.08600	0.09194
3db14dc0:	dummy;	0.092895	13	-1	84
3dc7f4e0:	time lag;	0.08657	0.09290
3db36580:	dummy;	0.093851	16	0	84
3dc813c0:	time lag;	0.08760	0.09385
3db5c420:	dummy;	0.094806	16	0	84
3dc82d80:	time lag;	0.08875	0.09481
3db82020:	dummy;	0.095758	16	0	84
3dc845a0:	time lag;	0.08991	0.09576
3dba8400:	dummy;	0.096702	16	0	84
3dc85d40:	time lag;	0.09107	0.09670
3dbce080:	dummy;	0.097658	16	0	84
3dc874c0:	time lag;	0.09223	0.09766
3dbf4440:	dummy;	0.098613	16	0	84
3dc88be0:	time lag;	0.09339	0.09861
3dc22a20:	dummy;	0.099569	16	0	84
3dda5b00:	time lag;	0.09481	0.09957
3dc23100:	dummy;	0.100526	16	0	84
3dda8b40:	time lag;	0.09482	0.10053
3dc3c640:	dummy;	0.101481	16	0	84
3ddaa500:	time lag;	0.09559	0.10148
3dc62cc0:	dummy;	0.102437	16	0	84
3ddabb80:	time lag;	0.09677	0.10244
3dc86300:	dummy;	0.103393	16	0	84
3ddad080:	time lag;	0.09785	0.10339
3dcadd60:	dummy;	0.104349	16	0	84
3ddae500:	time lag;	0.09906	0.10435
3dcd2fe0:	dummy;	0.105305	16	0	84
3ddaf960:	time lag;	0.10019	0.10530
3dcf8a40:	dummy;	0.106261	16	0	84
3ddb0d60:	time lag;	0.10134	0.10626
3dd1eca0:	dummy;	0.107216	15	-1	85
3ddb2140:	time lag;	0.10250	0.10722
3dd1f260:	dummy;	0.108174	14	-2	86
3ddb3520:	time lag;	0.10251	0.10817
3dd1f460:	dummy;	0.109132	13	-3	87
3ddb48a0:	time lag;	0.10252	0.10913
3dd67ba0:	dummy;	0.110085	12	-4	88
3ded18e0:	time lag;	0.10473	0.11009
3dd681e0:	dummy;	0.111026	12	-4	88
3ded3620:	time lag;	0.10474	0.11103
3dd8e100:	dummy;	0.11197	12	-4	88
3ded4ee0:	time lag;	0.10590	0.11197
3ddb3d00:	dummy;	0.112927	12	-4	88
3ded64e0:	time lag;	0.10705	0.11293
3ddd9ba0:	dummy;	0.113883	12	-4	88
3ded7ae0:	time lag;	0.10821	0.11388
3ddfff00:	dummy;	0.11484	12	-4	88
3ded9480:	time lag;	0.10937	0.11484
3de20d60:	dummy;	0.115795	12	-4	88
3dedaaa0:	time lag;	0.11038	0.11579
3de47660:	dummy;	0.116748	12	-4	88
3dedbf80:	time lag;	0.11155	0.11675
3de47c40:	dummy;	0.117692	12	-4	88
3dedd480:	time lag;	0.11157	0.11769
3de773e0:	dummy;	0.118648	12	-4	88
3dff91e0:	time lag;	0.11301	0.11865
3de8d760:	dummy;	0.119605	12	-4	88
3dffb6a0:	time lag;	0.11369	0.11961
3deb3460:	dummy;	0.120561	12	-4	88
3dffd600:	time lag;	0.11485	0.12056
3ded9720:	dummy;	0.121518	12	-4	88
3dfff360:	time lag;	0.11601	0.12152
3df00360:	dummy;	0.122474	9	-4	88
3e0007e0:	time lag;	0.11719	0.12247
3df21460:	dummy;	0.12343	6	-4	88
3e001600:	time lag;	0.11820	0.12343
3df43b80:	dummy;	0.124384	3	-4	88
3e0023f0:	time lag;	0.11925	0.12438
3df68be0:	dummy;	0.125342	0	-4	88
3e0031d0:	time lag;	0.12038	0.12534
3dfa05a0:	dummy;	0.126297	0	-4	88
3e0954a0:	time lag;	0.12208	0.12630
3dfa0e80:	dummy;	0.127254	0	-4	88
3e0967d0:	time lag;	0.12210	0.12725
3dfb2fe0:	dummy;	0.128209	0	-4	88
3e097850:	time lag;	0.12265	0.12821
3dfb3520:	dummy;	0.129167	0	-4	88
3e098780:	time lag;	0.12266	0.12917
3dfd95e0:	dummy;	0.130123	0	-4	88
3e0995f0:	time lag;	0.12382	0.13012
3dffde80:	dummy;	0.131075	0	-4	88
3e09a460:	time lag;	0.12494	0.13107
3e010770:	dummy;	0.132024	0	-4	88
3e09b280:	time lag;	0.12600	0.13202
3e022a70:	dummy;	0.132968	0	-4	88
3e09c060:	time lag;	0.12712	0.13297
3e033b50:	dummy;	0.133924	0	-4	88
3e09d0f0:	time lag;	0.12816	0.13392
3e0471b0:	dummy;	0.13488	0	-4	88
3e09df50:	time lag;	0.12934	0.13488
3e05a040:	dummy;	0.135834	0	-4	88
3e09ed40:	time lag;	0.13049	0.13583
3e05a320:	dummy;	0.13679	0	-4	88
3e09fe40:	time lag;	0.13051	0.13679
3e06cdb0:	dummy;	0.137742	0	-4	88
3e12dae0:	time lag;	0.13164	0.13774
3e07eaa0:	dummy;	0.138685	2	-7	88
3e12ee80:	time lag;	0.13273	0.13869
3e090ac0:	dummy;	0.139642	4	-10	88
3e1301f0:	time lag;	0.13383	0.13964
3e0a33c0:	dummy;	0.140598	6	-13	88
3e131df0:	time lag;	0.13496	0.14060
3e0b5fe0:	dummy;	0.141554	8	-16	88
3e133480:	time lag;	0.13611	0.14155
3e0c8c90:	dummy;	0.142511	8	-16	88
3e134d70:	time lag;	0.13725	0.14251
