bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3fa263d8:	time lag;	1.26031	1.26578
3fa17c60:	dummy;	1.26674	8	-8	84
3fa2659e:	time lag;	1.26161	1.26674
3fa17d30:	dummy;	1.267691	8	-8	84
3fa2675a:	time lag;	1.26163	1.26769
3fa19f4e:	dummy;	1.268634	8	-8	84
3fa26916:	time lag;	1.26267	1.26863
3fa1c140:	dummy;	1.26959	8	-8	84
3fa26aca:	time lag;	1.26371	1.26959
3fa1ea04:	dummy;	1.270543	8	-8	84
3fa26c7e:	time lag;	1.26495	1.27054
3fa20e06:	dummy;	1.271499	8	-8	84
3fa38eea:	time lag;	1.26605	1.27150
3fa237f0:	dummy;	1.272454	8	-8	84
3fa3911c:	time lag;	1.26733	1.27245
3fa25f08:	dummy;	1.27341	7	-7	84
3fa3930c:	time lag;	1.26853	1.27341
3fa25fea:	dummy;	1.274365	6	-6	84
3fa394e2:	time lag;	1.26855	1.27436
3fa2840e:	dummy;	1.275321	5	-5	84
3fa396a6:	time lag;	1.26965	1.27532
3fa2a8fc:	dummy;	1.276278	4	-4	84
3fa39864:	time lag;	1.27078	1.27628
3fa2c93a:	dummy;	1.277233	4	-4	84
3fa39a18:	time lag;	1.27177	1.27723
3fa2ef4e:	dummy;	1.278189	4	-4	84
3fa39bcc:	time lag;	1.27293	1.27819
3fa31940:	dummy;	1.279145	4	-4	84
3fa39d88:	time lag;	1.27421	1.27914
3fa31a2a:	dummy;	1.280101	4	-4	84
3fa39f3c:	time lag;	1.27424	1.28010
3fa33c46:	dummy;	1.281053	4	-4	84
3fa4b912:	time lag;	1.27528	1.28105
3fa366b6:	dummy;	1.281996	4	-4	84
3fa4bb44:	time lag;	1.27657	1.28200
3fa36788:	dummy;	1.282935	4	-4	84
3fa4bdba:	time lag;	1.27660	1.28293
3fa38cf4:	dummy;	1.283889	4	-4	84
3fa4bfec:	time lag;	1.27774	1.28389
3fa3b5c0:	dummy;	1.284844	4	-4	84
3fa4c1c2:	time lag;	1.27898	1.28484
3fa3de38:	dummy;	1.285799	4	-4	84
3fa4c386:	time lag;	1.28022	1.28580
3fa40610:	dummy;	1.286754	4	-4	84
3fa4c53c:	time lag;	1.28144	1.28675
3fa42fae:	dummy;	1.287706	4	-4	84
3fa4c6f0:	time lag;	1.28271	1.28771
3fa43080:	dummy;	1.288648	5	-4	84
3fa4c8a4:	time lag;	1.28273	1.28865
3fa46306:	dummy;	1.289605	6	-4	84
3fa5d4fa:	time lag;	1.28427	1.28960
3fa47792:	dummy;	1.290559	7	-4	84
3fa5d74e:	time lag;	1.28490	1.29056
3fa49ecc:	dummy;	1.291514	8	-4	84
3fa5d93c:	time lag;	1.28610	1.29151
3fa4c626:	dummy;	1.29247	8	-4	84
3fa5db0a:	time lag;	1.28730	1.29247
3fa4eec8:	dummy;	1.293425	8	-4	84
3fa5dcce:	time lag;	1.28854	1.29343
3fa4efa2:	dummy;	1.294381	8	-4	84
3fa5de8c:	time lag;	1.28856	1.29438
3fa51540:	dummy;	1.295337	8	-4	84
3fa5e048:	time lag;	1.28971	1.29534
3fa53d7e:	dummy;	1.296294	8	-4	84
3fa5e1fc:	time lag;	1.29094	1.29629
3fa56566:	dummy;	1.29725	8	-4	84
3fa5e3b8:	time lag;	1.29216	1.29725
3fa58cfc:	dummy;	1.298204	8	-4	84
3fa706e6:	time lag;	1.29337	1.29820
3fa5b470:	dummy;	1.29916	8	-4	84
3fa70928:	time lag;	1.29457	1.29916
3fa5b54a:	dummy;	1.300116	8	-4	84
3fa70b20:	time lag;	1.29460	1.30012
3fa5b57c:	dummy;	1.301073	8	-4	84
3fa70cf6:	time lag;	1.29460	1.30107
3fa60182:	dummy;	1.302026	8	-4	84
3fa70ec4:	time lag;	1.29692	1.30203
3fa6025c:	dummy;	1.302969	8	-4	84
3fa71080:	time lag;	1.29695	1.30297
3fa62aee:	dummy;	1.303913	8	-4	84
3fa71234:	time lag;	1.29819	1.30391
3fa65238:	dummy;	1.304869	8	-5	86
3fa713e8:	time lag;	1.29938	1.30487
3fa67a5c:	dummy;	1.305825	8	-6	88
3fa7160a:	time lag;	1.30061	1.30583
3fa67b3e:	dummy;	1.30678	8	-7	90
3fa717d6:	time lag;	1.30064	1.30678
3fa6b242:	dummy;	1.307734	8	-8	92
3fa82332:	time lag;	1.30231	1.30773
3fa6c58e:	dummy;	1.308687	8	-8	92
3fa82564:	time lag;	1.30290	1.30869
3fa6ed02:	dummy;	1.30963	8	-8	92
3fa82752:	time lag;	1.30411	1.30963
3fa7143c:	dummy;	1.310585	8	-8	92
3fa82928:	time lag;	1.30531	1.31059
3fa73d08:	dummy;	1.311539	8	-8	92
3fa82ae4:	time lag;	1.30655	1.31154
3fa73de2:	dummy;	1.312494	8	-8	92
3fa82ca2:	time lag;	1.30658	1.31249
3fa76284:	dummy;	1.31345	8	-8	92
3fa82e56:	time lag;	1.30769	1.31345
3fa78a12:	dummy;	1.314405	8	-8	92
3fa83012:	time lag;	1.30890	1.31441
3fa7b258:	dummy;	1.315361	8	-8	92
3fa831be:	time lag;	1.31013	1.31536
3fa7d242:	dummy;	1.316316	8	-8	92
3fa943b8:	time lag;	1.31110	1.31632
3fa7fc86:	dummy;	1.317273	8	-8	92
3fa945fa:	time lag;	1.31239	1.31727
3fa82374:	dummy;	1.318228	8	-8	92
3fa947e8:	time lag;	1.31358	1.31823
3fa8244e:	dummy;	1.319184	8	-8	92
3fa94a2c:	time lag;	1.31361	1.31918
3fa846d8:	dummy;	1.32014	6	-8	90
3fa94bf8:	time lag;	1.31466	1.32014
3fa847c4:	dummy;	1.321095	4	-8	88
3fa94dbe:	time lag;	1.31469	1.32109
3fa8685e:	dummy;	1.322047	2	-8	86
3fa94f72:	time lag;	1.31569	1.32205
3fa88b4c:	dummy;	1.322995	0	-8	84
3fa9512e:	time lag;	1.31675	1.32299
3fa8b44a:	dummy;	1.323933	0	-8	84
3fa952e2:	time lag;	1.31800	1.32393
3fa8ed46:	dummy;	1.324886	0	-8	84
3faa57f4:	time lag;	1.31974	1.32489
3fa90108:	dummy;	1.325841	0	-8	84
3faa5a2e:	time lag;	1.32034	1.32584
3fa92a74:	dummy;	1.326797	0	-8	84
3faa5c1c:	time lag;	1.32161	1.32680
3fa92b46:	dummy;	1.327752	0	-8	84
3faa5e56:	time lag;	1.32163	1.32775
3fa94be8:	dummy;	1.328704	0	-8	84
3faa602c:	time lag;	1.32263	1.32870
3fa97492:	dummy;	1.329647	0	-8	84
3faa61ea:	time lag;	1.32387	1.32965
3fa99d0a:	dummy;	1.330603	0	-8	84
3faa63a6:	time lag;	1.32510	1.33060
3fa9c5de:	dummy;	1.331557	0	-8	84
3faa6562:	time lag;	1.32635	1.33156
3fa9ffc6:	dummy;	1.332513	0	-8	84
3fab6ef8:	time lag;	1.32812	1.33251
3faa00ea:	dummy;	1.333468	0	-8	84
3fab7122:	time lag;	1.32815	1.33347
3faa0f78:	dummy;	1.334424	0	-8	84
3fab7308:	time lag;	1.32860	1.33442
3faa38b8:	dummy;	1.335379	0	-8	84
3fab74d6:	time lag;	1.32986	1.33538
3faa619e:	dummy;	1.336336	2	-7	83
3fab7708:	time lag;	1.33110	1.33634
3faa8a04:	dummy;	1.337292	4	-6	82
3fab78d4:	time lag;	1.33234	1.33729
3faab0fa:	dummy;	1.338248	6	-5	81
3fab7a8a:	time lag;	1.33353	1.33825
3faab1de:	dummy;	1.339203	8	-4	80
3fab7c36:	time lag;	1.33355	1.33920
3faad6fe:	dummy;	1.340159	8	-4	80
3fab7de0:	time lag;	1.33469	1.34016
3faad7e0:	dummy;	1.341116	8	-4	80
3fab7f8c:	time lag;	1.33471	1.34112
3faafe26:	dummy;	1.342074	8	-4	80
3fab8130:	time lag;	1.33588	1.34207
3fab2086:	dummy;	1.34303	8	-4	80
3fac83ba:	time lag;	1.33693	1.34303
3fab4b06:	dummy;	1.343967	8	-4	80
3fac85f4:	time lag;	1.33823	1.34397
3fab7554:	dummy;	1.344911	8	-4	80
3fac87e4:	time lag;	1.33952	1.34491
3fab9aa6:	dummy;	1.345867	8	-4	80
3fac89b0:	time lag;	1.34066	1.34587
3fab9b90:	dummy;	1.346822	8	-4	80
3fac8b76:	time lag;	1.34068	1.34682
3fabbde8:	dummy;	1.347777	8	-4	80
3fac8d2a:	time lag;	1.34173	1.34778
3fabe5b8:	dummy;	1.348733	8	-4	80
3fac8ee6:	time lag;	1.34295	1.34873
3fac0ea6:	dummy;	1.349685	8	-4	80
3fac9110:	time lag;	1.34420	1.34969
3fac3088:	dummy;	1.350629	8	-4	80
3fadb20c:	time lag;	1.34523	1.35063
3fac5ab4:	dummy;	1.351584	8	-4	80
3fadb44e:	time lag;	1.34652	1.35158
3fac5b96:	dummy;	1.352539	8	-5	81
3fadb646:	time lag;	1.34654	1.35254
3fac82a6:	dummy;	1.353494	8	-6	82
3fadb846:	time lag;	1.34774	1.35349
3facab60:	dummy;	1.35445	8	-7	83
3fadba12:	time lag;	1.34898	1.35445
3facd446:	dummy;	1.355404	8	-8	84
3fadbbd0:	time lag;	1.35023	1.35540
3facfb98:	dummy;	1.356361	8	-8	84
3fadbd84:	time lag;	1.35143	1.35636
3fad233e:	dummy;	1.357316	8	-8	84
3fadbf38:	time lag;	1.35264	1.35732
3fad2420:	dummy;	1.358273	8	-8	84
3fadc0ec:	time lag;	1.35266	1.35827
3fad5b4e:	dummy;	1.359228	8	-8	84
3faec826:	time lag;	1.35435	1.35923
3fad9664:	dummy;	1.360184	8	-8	84
3faecae6:	time lag;	1.35615	1.36018
3fad9746:	dummy;	1.36114	8	-8	84
3faeccde:	time lag;	1.35618	1.36114
3fad9770:	dummy;	1.362095	8	-8	84
3faecebc:	time lag;	1.35618	1.36210
3fadbdd0:	dummy;	1.363049	8	-8	84
3faed080:	time lag;	1.35736	1.36305
3fade4d6:	dummy;	1.363993	8	-8	84
3faed23e:	time lag;	1.35855	1.36399
3fade5b8:	dummy;	1.364931	8	-8	84
3faed3f2:	time lag;	1.35857	1.36493
3fae09c4:	dummy;	1.365885	8	-8	84
3faed5ae:	time lag;	1.35967	1.36589
3fae30fe:	dummy;	1.36684	8	-8	84
3faed76a:	time lag;	1.36087	1.36684
3fae58e6:	dummy;	1.367793	7	-8	84
3faed91e:	time lag;	1.36209	1.36779
3fae7d70:	dummy;	1.368749	6	-8	84
3faff338:	time lag;	1.36320	1.36875
3faea42a:	dummy;	1.3697	5	-8	84
3faff584:	time lag;	1.36438	1.36970
3faec6c6:	dummy;	1.370642	4	-8	84
3faff77a:	time lag;	1.36544	1.37064
3faeeddc:	dummy;	1.371599	4	-8	84
3faff9b6:	time lag;	1.36663	1.37160
3faeeeb8:	dummy;	1.372554	4	-8	84
3faffb8c:	time lag;	1.36666	1.37255
3faf1120:	dummy;	1.373509	4	-8	84
3faffd40:	time lag;	1.36771	1.37351
3faf393a:	dummy;	1.374465	4	-8	84
3faffefc:	time lag;	1.36893	1.37447
3faf61a2:	dummy;	1.375421	4	-8	84
3fb000b8:	time lag;	1.37017	1.37542
3faf9b24:	dummy;	1.376377	4	-8	84
3fb106ac:	time lag;	1.37192	1.37638
3fafaf9e:	dummy;	1.377333	4	-8	84
3fb108e6:	time lag;	1.37255	1.37733
3fafb08a:	dummy;	1.378289	4	-8	84
3fb10acc:	time lag;	1.37258	1.37829
3fafd442:	dummy;	1.379246	4	-8	84
3fb10ca2:	time lag;	1.37367	1.37925
3faff9a4:	dummy;	1.380201	4	-8	84
3fb10e66:	time lag;	1.37481	1.38020
3fb0222e:	dummy;	1.381158	4	-8	84
3fb11024:	time lag;	1.37604	1.38116
3fb02308:	dummy;	1.382115	4	-8	84
3fb111e0:	time lag;	1.37607	1.38211
3fb04806:	dummy;	1.383072	4	-8	84
3fb1139c:	time lag;	1.37720	1.38307
3fb070b8:	dummy;	1.384028	4	-8	85
3fb11550:	time lag;	1.37844	1.38403
3fb09802:	dummy;	1.384967	4	-8	86
3fb11704:	time lag;	1.37964	1.38497
3fb098dc:	dummy;	1.38591	4	-8	87
3fb11926:	time lag;	1.37966	1.38591
3fb0b990:	dummy;	1.386866	4	-8	88
3fb228e4:	time lag;	1.38066	1.38687
3fb0e48e:	dummy;	1.387821	4	-8	88
3fb22b62:	time lag;	1.38197	1.38782
3fb10d4a:	dummy;	1.388776	4	-8	88
3fb22d52:	time lag;	1.38322	1.38878
3fb1351a:	dummy;	1.389732	4	-8	88
3fb22f28:	time lag;	1.38443	1.38973
3fb15daa:	dummy;	1.390684	4	-8	88
3fb230ec:	time lag;	1.38567	1.39068
3fb15e74:	dummy;	1.391628	4	-8	88
3fb232a8:	time lag;	1.38569	1.39163
3fb17fae:	dummy;	1.392583	4	-8	88
3fb2345c:	time lag;	1.38671	1.39258
3fb1a648:	dummy;	1.393537	4	-8	88
3fb2367e:	time lag;	1.38789	1.39354
3fb1d0f2:	dummy;	1.394492	4	-8	88
3fb34f62:	time lag;	1.38919	1.39449
3fb1f22c:	dummy;	1.395448	4	-8	88
3fb351a4:	time lag;	1.39020	1.39545
3fb21ba8:	dummy;	1.396404	4	-8	88
3fb35394:	time lag;	1.39147	1.39640
3fb241f6:	dummy;	1.39736	4	-8	88
3fb35560:	time lag;	1.39264	1.39736
3fb242d0:	dummy;	1.398314	4	-8	88
3fb3571e:	time lag;	1.39266	1.39831
3fb2656a:	dummy;	1.399272	6	-10	88
3fb358da:	time lag;	1.39372	1.39927
3fb28ce8:	dummy;	1.400228	8	-12	88
3fb35a8e:	time lag;	1.39493	1.40023
3fb2b52c:	dummy;	1.401185	10	-14	88
3fb35c4a:	time lag;	1.39615	1.40118
3fb2de88:	dummy;	1.402142	12	-16	88
3fb35dfe:	time lag;	1.39742	1.40214
3fb2e032:	dummy;	1.403102	12	-16	88
3fb35fbc:	time lag;	1.39747	1.40310
3fb3033a:	dummy;	1.404054	12	-16	88
3fb477c4:	time lag;	1.39854	1.40405
3fb303b8:	dummy;	1.404996	12	-16	88
3fb479fe:	time lag;	1.39855	1.40500
3fb3295e:	dummy;	1.405943	12	-16	88
3fb47bee:	time lag;	1.39970	1.40594
3fb3500a:	dummy;	1.406889	12	-16	88
3fb47db2:	time lag;	1.40088	1.40689
3fb37754:	dummy;	1.407845	12	-16	88
3fb47f78:	time lag;	1.40208	1.40785
3fb39e94:	dummy;	1.408803	12	-16	88
3fb4812c:	time lag;	1.40328	1.40880
3fb3c854:	dummy;	1.409759	12	-16	88
3fb482e0:	time lag;	1.40455	1.40976
3fb3c936:	dummy;	1.410719	12	-16	88
3fb48494:	time lag;	1.40458	1.41072
3fb3ee1c:	dummy;	1.411658	12	-16	88
3fb48648:	time lag;	1.40570	1.41166
3fb420ac:	dummy;	1.412616	12	-16	88
3fb593c4:	time lag;	1.40725	1.41262
3fb439b4:	dummy;	1.413572	12	-16	88
3fb59608:	time lag;	1.40801	1.41357
3fb4616c:	dummy;	1.41453	12	-16	88
3fb597f6:	time lag;	1.40922	1.41453
3fb4b25c:	dummy;	1.415485	12	-14	87
3fb59a30:	time lag;	1.41169	1.41549
3fb4b33e:	dummy;	1.416443	12	-12	86
3fb59c20:	time lag;	1.41172	1.41644
3fb4b368:	dummy;	1.4174	12	-10	85
3fb59de4:	time lag;	1.41173	1.41740
3fb4d3c0:	dummy;	1.418357	12	-8	84
3fb59fa2:	time lag;	1.41271	1.41836
3fb4fba0:	dummy;	1.419313	12	-8	84
3fb5a156:	time lag;	1.41393	1.41931
3fb523fe:	dummy;	1.420272	12	-8	84
3fb5a30a:	time lag;	1.41516	1.42027
3fb54994:	dummy;	1.421228	12	-8	84
3fb6c53c:	time lag;	1.41631	1.42123
3fb57292:	dummy;	1.422185	12	-8	84
3fb6c77e:	time lag;	1.41756	1.42219
3fb57364:	dummy;	1.423141	12	-8	84
3fb6c976:	time lag;	1.41758	1.42314
3fb5738e:	dummy;	1.4241	12	-8	84
3fb6cb42:	time lag;	1.41759	1.42410
3fb597cc:	dummy;	1.425052	12	-8	84
3fb6cd54:	time lag;	1.41869	1.42505
3fb5bf72:	dummy;	1.425991	12	-8	84
3fb6cf08:	time lag;	1.41990	1.42599
3fb5e7c8:	dummy;	1.426942	12	-8	84
3fb6d0bc:	time lag;	1.42114	1.42694
3fb610d8:	dummy;	1.427886	12	-8	84
3fb6d270:	time lag;	1.42239	1.42789
3fb635ac:	dummy;	1.428842	12	-8	84
3fb6d424:	time lag;	1.42351	1.42884
3fb6367e:	dummy;	1.429798	12	-8	84
3fb6d5d0:	time lag;	1.42354	1.42980
3fb6703c:	dummy;	1.430754	11	-7	84
3fb7eade:	time lag;	1.42530	1.43075
3fb67c20:	dummy;	1.431711	10	-6	84
3fb7ed18:	time lag;	1.42566	1.43171
3fb6a5ac:	dummy;	1.432651	9	-5	84
3fb7eefe:	time lag;	1.42693	1.43265
3fb6ce2e:	dummy;	1.433607	8	-4	84
3fb7f0cc:	time lag;	1.42817	1.43361
3fb6f56e:	dummy;	1.434562	8	-4	84
3fb7f290:	time lag;	1.42936	1.43456
3fb71c86:	dummy;	1.435517	8	-4	84
3fb7f44e:	time lag;	1.43056	1.43552
3fb71d68:	dummy;	1.436472	8	-4	84
3fb7f602:	time lag;	1.43058	1.43647
3fb74246:	dummy;	1.437429	8	-4	84
3fb7f81a:	time lag;	1.43171	1.43743
3fb76a8c:	dummy;	1.438385	8	-4	84
3fb7f9e8:	time lag;	1.43294	1.43839
3fb7944a:	dummy;	1.43934	8	-4	84
3fb90d0e:	time lag;	1.43421	1.43934
3fb7b2ee:	dummy;	1.440296	8	-4	84
3fb90f4a:	time lag;	1.43515	1.44030
3fb7dc16:	dummy;	1.441252	8	-4	84
3fb91130:	time lag;	1.43640	1.44125
3fb8043a:	dummy;	1.442209	8	-4	84
3fb912fe:	time lag;	1.43763	1.44221
3fb80514:	dummy;	1.443164	8	-4	84
3fb914ba:	time lag;	1.43765	1.44316
3fb827fa:	dummy;	1.444122	8	-4	84
3fb91676:	time lag;	1.43872	1.44412
3fb828dc:	dummy;	1.445078	8	-4	84
3fb91822:	time lag;	1.43875	1.44508
3fb84db2:	dummy;	1.446031	8	-4	84
3fb919d6:	time lag;	1.43987	1.44603
3fb876b0:	dummy;	1.446969	6	-5	84
3fb91b8a:	time lag;	1.44112	1.44697
3fb89de8:	dummy;	1.447911	4	-6	84
3fb91d36:	time lag;	1.44232	1.44791
3fb8c30a:	dummy;	1.448867	2	-7	84
3fba381a:	time lag;	1.44345	1.44887
3fb8eaea:	dummy;	1.449823	0	-8	84
3fba3a5c:	time lag;	1.44467	1.44982
3fb8ebc4:	dummy;	1.450777	0	-8	84
3fba3c42:	time lag;	1.44469	1.45078
3fb90ccc:	dummy;	1.451733	0	-8	84
3fba3e18:	time lag;	1.44570	1.45173
3fb92eb6:	dummy;	1.452684	0	-8	84
3fba3fd4:	time lag;	1.44674	1.45268
3fb9577a:	dummy;	1.453628	0	-8	84
3fba418a:	time lag;	1.44798	1.45363
3fb97ff2:	dummy;	1.454583	0	-8	84
3fba433e:	time lag;	1.44922	1.45458
3fb9a73c:	dummy;	1.455538	0	-8	84
3fba44f2:	time lag;	1.45042	1.45554
3fb9df54:	dummy;	1.456492	0	-8	84
3fbb5f80:	time lag;	1.45213	1.45649
3fb9e06a:	dummy;	1.457449	0	-8	84
3fbb61c4:	time lag;	1.45216	1.45745
3fb9ed7c:	dummy;	1.458404	0	-8	84
3fbb63b2:	time lag;	1.45256	1.45840
3fba115e:	dummy;	1.459361	0	-8	84
3fbb65ec:	time lag;	1.45366	1.45936
3fba33a4:	dummy;	1.460316	0	-8	84
3fbb67c2:	time lag;	1.45470	1.46032
3fba5b4a:	dummy;	1.461274	0	-8	84
3fbb6988:	time lag;	1.45591	1.46127
3fba83d4:	dummy;	1.462228	1	-9	84
3fbb6b44:	time lag;	1.45715	1.46223
3fbaa83c:	dummy;	1.463185	2	-10	84
3fbb6d0a:	time lag;	1.45826	1.46318
3fbacd32:	dummy;	1.464141	3	-11	84
3fbb6ec6:	time lag;	1.45939	1.46414
3fbace14:	dummy;	1.4651	4	-12	84
3fbb7082:	time lag;	1.45941	1.46510
3fbb0aee:	dummy;	1.466051	4	-12	84
3fbc8e7a:	time lag;	1.46127	1.46605
3fbb0c0a:	dummy;	1.466991	4	-12	84
3fbc90c4:	time lag;	1.46130	1.46699
3fbb161a:	dummy;	1.46794	4	-12	84
3fbc92bc:	time lag;	1.46161	1.46794
3fbb4046:	dummy;	1.468884	4	-12	84
3fbc9492:	time lag;	1.46290	1.46888
3fbb68c6:	dummy;	1.46984	4	-12	84
3fbc964e:	time lag;	1.46413	1.46984
3fbb913e:	dummy;	1.470795	4	-12	84
3fbc980c:	time lag;	1.46537	1.47080
3fbbba3c:	dummy;	1.471751	4	-12	84
3fbc99c8:	time lag;	1.46662	1.47175
3fbbbb0e:	dummy;	1.472708	4	-12	84
3fbc9b7c:	time lag;	1.46665	1.47271
3fbbde16:	dummy;	1.473648	4	-12	84
3fbc9da6:	time lag;	1.46772	1.47365
3fbc06da:	dummy;	1.474605	4	-12	84
3fbc9f6a:	time lag;	1.46896	1.47460
3fbc39ce:	dummy;	1.475561	4	-12	84
3fbda366:	time lag;	1.47051	1.47556
3fbc5300:	dummy;	1.476517	4	-12	84
3fbda5b0:	time lag;	1.47128	1.47652
3fbc7a52:	dummy;	1.477473	4	-12	84
3fbda7a0:	time lag;	1.47248	1.47747
3fbca080:	dummy;	1.47843	4	-11	84
3fbda976:	time lag;	1.47365	1.47843
3fbca162:	dummy;	1.479386	4	-10	84
3fbdab3a:	time lag;	1.47368	1.47939
3fbcc398:	dummy;	1.480342	4	-9	84
3fbdacf8:	time lag;	1.47472	1.48034
3fbce946:	dummy;	1.481298	4	-8	84
3fbdaf10:	time lag;	1.47587	1.48130
3fbd089a:	dummy;	1.482254	4	-8	84
3fbdb0de:	time lag;	1.47682	1.48225
3fbd33a8:	dummy;	1.48321	4	-8	84
3fbdb292:	time lag;	1.47814	1.48321
3fbd597a:	dummy;	1.484164	4	-8	84
3fbed2cc:	time lag;	1.47929	1.48416
3fbd82fe:	dummy;	1.485121	4	-8	84
3fbed506:	time lag;	1.48056	1.48512
3fbd83d8:	dummy;	1.486078	4	-8	84
3fbed6ec:	time lag;	1.48059	1.48608
3fbd840a:	dummy;	1.487035	4	-8	84
3fbed8cc:	time lag;	1.48059	1.48704
3fbda450:	dummy;	1.487986	4	-8	84
3fbeda88:	time lag;	1.48158	1.48799
3fbdc948:	dummy;	1.488925	4	-8	84
3fbedc44:	time lag;	1.48271	1.48893
3fbdefa6:	dummy;	1.489879	4	-8	84
3fbeddf8:	time lag;	1.48388	1.48988
3fbe1804:	dummy;	1.490835	4	-8	84
3fbedfac:	time lag;	1.48511	1.49083
3fbe4086:	dummy;	1.49179	4	-8	84
3fbee160:	time lag;	1.48634	1.49179
3fbe7bc4:	dummy;	1.492744	4	-8	84
3fbffcca:	time lag;	1.48815	1.49274
3fbe7cea:	dummy;	1.493696	6	-8	84
3fbffefc:	time lag;	1.48819	1.49370
3fbe895e:	dummy;	1.494639	8	-8	84
3fc000e2:	time lag;	1.48857	1.49464
3fbead82:	dummy;	1.495596	10	-8	84
3fc002b0:	time lag;	1.48967	1.49560
3fbed56c:	dummy;	1.496551	12	-8	84
3fc0046c:	time lag;	1.49089	1.49655
3fbefda8:	dummy;	1.497507	12	-8	84
3fc00620:	time lag;	1.49212	1.49751
3fbf2000:	dummy;	1.498463	12	-8	84
3fc007cc:	time lag;	1.49316	1.49846
3fbf48dc:	dummy;	1.499421	12	-8	84
3fc00978:	time lag;	1.49441	1.49942
3fbf7108:	dummy;	1.500377	12	-8	84
3fc00b24:	time lag;	1.49564	1.50038
3fbf71e2:	dummy;	1.501333	12	-8	84
3fc00cd0:	time lag;	1.49566	1.50133
3fbfa72a:	dummy;	1.502291	12	-8	84
3fc118d2:	time lag;	1.49729	1.50229
3fbfbd62:	dummy;	1.503249	12	-8	84
3fc11b60:	time lag;	1.49797	1.50325
3fbfe60c:	dummy;	1.504204	12	-8	84
3fc11d58:	time lag;	1.49921	1.50420
3fc00d56:	dummy;	1.505161	12	-8	84
3fc11f2e:	time lag;	1.50041	1.50516
3fc0366e:	dummy;	1.506118	12	-8	84
3fc120ea:	time lag;	1.50166	1.50612
3fc03750:	dummy;	1.507075	12	-8	84
3fc122a6:	time lag;	1.50169	1.50707
3fc03782:	dummy;	1.508028	12	-8	84
3fc1245c:	time lag;	1.50169	1.50803
3fc058bc:	dummy;	1.508968	12	-8	84
3fc12606:	time lag;	1.50271	1.50897
3fc07f5e:	dummy;	1.509909	11	-7	84
3fc127bc:	time lag;	1.50389	1.50991
3fda6ef4:	dummy;	1.711435	4	-18	69
3fdb76de:	time lag;	1.70651	1.71144
3fda9470:	dummy;	1.712378	4	-18	70
3fdb7932:	time lag;	1.70765	1.71238
3fda9552:	dummy;	1.713334	4	-18	71
3fdb7b18:	time lag;	1.70768	1.71333
3fdab6fa:	dummy;	1.71429	4	-18	71
3fdb7cee:	time lag;	1.70871	1.71429
3fdadfe0:	dummy;	1.715247	10	-6	86
3fdb7eb2:	time lag;	1.70996	1.71525
3fdb0718:	dummy;	1.716202	9	-5	85
3fdb8070:	time lag;	1.71115	1.71620
3fdb2e48:	dummy;	1.717158	8	-4	84
3fdca8c2:	time lag;	1.71235	1.71716
3fdb584c:	dummy;	1.718114	8	-4	84
3fdcaafc:	time lag;	1.71363	1.71811
3fdb591c:	dummy;	1.71907	8	-4	84
3fdcacea:	time lag;	1.71366	1.71907
3fdb5950:	dummy;	1.720023	8	-4	84
3fdcaec0:	time lag;	1.71366	1.72002
3fdb7ba6:	dummy;	1.720964	8	-4	84
3fdcb07e:	time lag;	1.71471	1.72096
3fdba31a:	dummy;	1.721903	8	-4	84
3fdcb232:	time lag;	1.71591	1.72190
3fdbcb9a:	dummy;	1.72286	8	-4	84
3fdcb3e6:	time lag;	1.71715	1.72286
3fdbf2e4:	dummy;	1.723814	8	-4	84
3fdcb592:	time lag;	1.71835	1.72381
3fdc1b00:	dummy;	1.724769	8	-4	84
3fdcb73e:	time lag;	1.71957	1.72477
3fdc1be2:	dummy;	1.725724	8	-4	84
3fdcb956:	time lag;	1.71960	1.72572
3fdc53ca:	dummy;	1.726676	8	-4	84
3fddcf80:	time lag;	1.72131	1.72668
3fdc655a:	dummy;	1.72762	8	-4	84
3fddd1bc:	time lag;	1.72184	1.72762
3fdcb3bc:	dummy;	1.728573	8	-4	84
3fddd3a2:	time lag;	1.72424	1.72857
3fdcb4ae:	dummy;	1.729529	8	-4	84
3fddd578:	time lag;	1.72426	1.72953
3fdcd75a:	dummy;	1.730483	10	-3	85
3fddd734:	time lag;	1.72532	1.73048
3fdd011a:	dummy;	1.731441	12	-2	86
3fddd8e8:	time lag;	1.72660	1.73144
3fdd01fc:	dummy;	1.732397	14	-1	87
3fddda9c:	time lag;	1.72662	1.73240
3fdd25de:	dummy;	1.733354	16	0	88
3fdddc50:	time lag;	1.72772	1.73335
3fdd4eb2:	dummy;	1.734309	16	0	88
3fddde04:	time lag;	1.72896	1.73431
3fdd77fa:	dummy;	1.735267	16	0	88
3fdf01b8:	time lag;	1.73022	1.73527
3fdd9ad8:	dummy;	1.736222	16	0	88
3fdf03fc:	time lag;	1.73129	1.73622
3fddc44c:	dummy;	1.737178	16	0	88
3fdf061c:	time lag;	1.73255	1.73718
3fddc536:	dummy;	1.738134	16	0	88
3fdf07f2:	time lag;	1.73258	1.73813
3fddc56a:	dummy;	1.739091	16	0	88
3fdf09b8:	time lag;	1.73259	1.73909
3fdde94a:	dummy;	1.740047	16	0	88
3fdf0bfa:	time lag;	1.73368	1.74005
3fde0b4e:	dummy;	1.740999	16	0	88
3fdf0f20:	time lag;	1.73472	1.74100
